timestamp,accel,HR,o2%
92642,0.158398,72,95
92643,0.158398,72,95
92644,0.158398,72,95
92653,0.158398,72,95
92654,0.158398,72,95
92655,0.158398,72,95
92656,0.158398,72,95
92657,0.158398,72,95
92658,0.158398,72,95
92659,0.158398,72,95
92661,0.159277,72,95
92662,0.159277,72,95
92663,0.159277,72,95
92664,0.159277,72,95
92665,0.159277,72,95
92666,0.159277,72,95
92667,0.159277,72,95
92668,0.159277,72,95
92669,0.159277,72,95
92670,0.159277,72,95
92671,0.159277,72,95
92672,0.159277,72,95
92678,0.159277,72,95
92679,0.159277,72,95
92680,0.160815,72,95
92681,0.160815,72,95
92682,0.160815,72,95
92683,0.160815,72,95
92684,0.160815,72,95
92685,0.160815,72,95
92686,0.160815,72,95
92687,0.160815,72,95
92688,0.160815,72,95
92689,0.160815,72,95
92690,0.160815,72,95
92691,0.160815,72,95
92692,0.160815,72,95
92693,0.160815,72,95
92694,0.160815,72,95
92695,0.160815,72,95
92696,0.160815,72,95
92697,0.160815,72,95
92708,0.16333,72,95
92709,0.16333,72,95
92710,0.16333,72,95
92711,0.16333,72,95
92712,0.16333,72,95
92713,0.16333,72,95
92714,0.16333,72,95
92715,0.16333,72,95
92716,0.16333,72,95
92717,0.16333,72,95
92718,0.16333,72,95
92719,0.16333,72,95
92720,0.16333,72,95
92721,0.162988,72,95
92722,0.162988,72,95
92723,0.162988,72,95
92724,0.162988,72,95
92725,0.162988,72,95
92726,0.162988,72,95
92727,0.162988,72,95
92732,0.162988,72,95
92733,0.162988,72,95
92734,0.162988,72,95
92735,0.162988,72,95
92736,0.162988,72,95
92737,0.162988,72,95
92738,0.162988,72,95
92739,0.162988,72,95
92740,0.162988,72,95
92742,0.163647,72,95
92743,0.163647,72,95
92744,0.163647,72,95
92745,0.163647,72,95
92746,0.163647,72,95
92747,0.163647,72,95
92748,0.163647,72,95
92749,0.163647,72,95
92750,0.163647,72,95
92751,0.163647,72,95
92761,0.163647,72,95
92763,0.164355,72,95
92764,0.164355,72,95
92765,0.164355,72,95
92766,0.164355,72,95
92767,0.164355,72,95
92768,0.164355,72,95
92769,0.164355,72,95
92770,0.164355,72,95
92771,0.164355,72,95
92772,0.164355,72,95
92773,0.164355,72,95
92774,0.164355,72,95
92775,0.164355,72,95
92776,0.164355,72,95
92777,0.164355,72,95
92778,0.164355,72,95
92779,0.164355,72,95
92780,0.164355,72,95
92781,0.164355,72,95
92787,0.16709,72,95
92788,0.16709,72,95
92789,0.16709,72,95
92790,0.16709,72,95
92791,0.16709,72,95
92792,0.16709,72,95
92793,0.16709,72,95
92794,0.16709,72,95
92795,0.16709,72,95
92796,0.16709,72,95
92797,0.16709,72,95
92798,0.16709,72,95
92799,0.16709,72,95
92800,0.16709,72,95
92801,0.16709,72,95
92802,0.16709,72,95
92803,0.16709,72,95
92805,0.165576,72,95
92806,0.165576,72,95
92807,0.165576,72,95
92816,0.165576,72,95
92817,0.165576,72,95
92818,0.165576,72,95
92819,0.165576,72,95
92820,0.165576,72,95
92821,0.165576,72,95
92822,0.165576,72,95
92823,0.165576,72,95
92824,0.165576,72,95
92826,0.166602,72,95
92827,0.166602,72,95
92828,0.166602,72,95
92829,0.166602,72,95
92830,0.166602,72,95
92831,0.166602,72,95
92832,0.166602,72,95
92833,0.166602,72,95
92834,0.166602,72,95
92835,0.166602,72,95
92841,0.166602,72,95
92842,0.166602,72,95
92843,0.166602,72,95
92844,0.166602,72,95
92845,0.166602,72,95
92847,0.166235,72,95
92848,0.166235,72,95
92849,0.166235,72,95
92850,0.166235,72,95
92851,0.166235,72,95
92852,0.166235,72,95
92853,0.166235,72,95
92854,0.166235,72,95
92855,0.166235,72,95
92856,0.166235,72,95
92857,0.166235,72,95
92858,0.166235,72,95
92859,0.166235,72,95
92860,0.166235,72,95
92861,0.166235,72,95
92869,0.166113,72,95
92870,0.166113,72,95
92871,0.166113,72,95
92872,0.166113,72,95
92873,0.166113,72,95
92874,0.166113,72,95
92875,0.166113,72,95
92876,0.166113,72,95
92877,0.166113,72,95
92878,0.166113,72,95
92879,0.166113,72,95
92880,0.166113,72,95
92881,0.166113,72,95
92882,0.166113,72,95
92883,0.166113,72,95
92884,0.166113,72,95
92885,0.166113,72,95
92886,0.166113,72,95
92887,0.166113,72,95
92889,0.165576,72,95
92894,0.165576,72,95
92895,0.165576,72,95
92896,0.165576,72,95
92897,0.165576,72,95
92898,0.165576,72,95
92899,0.165576,72,95
92900,0.165576,72,95
92901,0.165576,72,95
92902,0.165576,72,95
92903,0.165576,72,95
92904,0.165576,72,95
92905,0.165576,72,95
92906,0.165576,72,95
92907,0.165576,72,95
92908,0.165576,72,95
92910,0.163965,72,95
92911,0.163965,72,95
92912,0.163965,72,95
92913,0.163965,72,95
92914,0.163965,72,95
92925,0.163965,72,95
92926,0.163965,72,95
92927,0.163965,72,95
92928,0.163965,72,95
92929,0.163037,72,95
92930,0.163037,72,95
92931,0.163037,72,95
92932,0.163037,72,95
92933,0.163037,72,95
92934,0.163037,72,95
92935,0.163037,72,95
92936,0.163037,72,95
92937,0.163037,72,95
92938,0.163037,72,95
92939,0.163037,72,95
92940,0.163037,72,95
92941,0.163037,72,95
92942,0.163037,72,95
92943,0.163037,72,95
92949,0.162939,72,95
92950,0.162939,72,95
92951,0.162939,72,95
92952,0.162939,72,95
92953,0.162939,72,95
92954,0.162939,72,95
92955,0.162939,72,95
92956,0.162939,72,95
92957,0.162939,72,95
92958,0.162939,72,95
92959,0.162939,72,95
92960,0.162939,72,95
92961,0.162939,72,95
92962,0.162939,72,95
92963,0.162939,72,95
92964,0.162939,72,95
92965,0.162939,72,95
92966,0.162939,72,95
92967,0.162939,72,95
92968,0.162939,72,95
92975,0.163306,72,95
